coarse_template,count
PREP DET ADJ N PREP DET ADJ N PUNCT NUM N,6
N N N V ADJ N PUNCT CONJ PUNCT N N PUNCT V,6
PUNCT N PUNCT V PART DET ADJ N N PUNCT CONJ V PRN,5
PREP DET N PREP DET N N N PUNCT V PRN,4
PRN V DET N PREP DET ADJ N PRN V,3
PRN V DET ADJ N PREP DET N PUNCT PRN V,3
PRN V DET N N PREP DET ADJ N PREP,3
DET N V NUM PREP DET ADV ADJ ADJ N,3
PRN V PART V DET N CONJ PRN V ADJ,3
NUM PREP DET N PREP N N V CONJ PRN,3
ADV PRN N PREP N V V ADV ADJ PRN,3
PRN V DET N PREP PUNCT N CONJ DET N PUNCT CONJ V,3
PRN V ADV ADJ PREP DET N PREP DET N PUNCT,3
DET N V V V PREP PRN N PREP PRN,3
PRN V DET N N PREP DET N PREP PRN,3
N N V NUM PREP PRN ADJ N CONJ PRN,3
PRN V DET ADJ N PREP DET N PREP PRN,3
PRN ADV V DET N PUNCT PRN V DET ADJ N,3
PRN V DET N N PART V DET ADJ N,3
PRN V DET N CONJ DET N V ADJ PREP,3
PRN V DET N ADV NUM N ADV PUNCT PRN V,3
N V V PREP ADJ N PUNCT N V N V,3
PRN V DET ADJ ADJ N N PREP DET ADJ,3
PRN V DET ADJ N N PRN V V PUNCT PRN,3
PRN V V ADJ PART V DET N N PRN,2
PRN V V DET DET ADJ N PREP DET N,2
DET ADJ N PREP DET N PREP N V PRN,2
PRN V PRN V DET ADJ N PREP DET N,2
PRN V V DET N PREP DET ADV ADJ N PUNCT,2
N N N V ADJ N PUNCT PREP PRN PUNCT N CONJ,2
N N V DET ADJ N PREP N CONJ PRN,2
PRN V DET ADJ N PREP DET N PRN PRN,2
PRN V DET N PREP ADJ N PREP N PREP,2
PRN V V DET ADJ N PREP DET ADJ N,2
PRN ADV V DET N PREP DET N CONJ PRN,2
PRN V V DET N N N V V PUNCT PRN,2
DET N V V PREP DET ADJ N PREP PRN,2
N N N V DET ADJ N PREP N PUNCT PRN,2
PRN V DET N ADV CONJ PRN V PART V,2
DET PUNCT N PUNCT V V V PREP DET N N PUNCT PRN,2
PUNCT DET N V PREP DET N PUNCT PUNCT V DET ADJ N,2
PRN V PART V DET ADJ N PREP DET N PUNCT PRN,2
PUNCT CONJ NUM N V PUNCT V DET ADJ PUNCT N N N PREP,2
PRN V PART V DET N V PREP DET N PUNCT,2
PRN V DET ADJ NUM N PREP DET N CONJ,2
PRN V NUM PREP DET ADJ N PRN V V,2
PRN V PREP DET ADJ N CONJ PRN V PRN,2
DET N PUNCT ADJ PREP DET ADJ N N N PRN V,2
PRN V PREP DET N PREP N CONJ PRN V,2
PUNCT DET N PART N PUNCT V DET N N PREP DET N,2
